Iteration 16, Warp ID: 369, Weight: 8.477105e-07, CVs: pc1=0.64, pc2=-0.14
Iteration 17, Warp ID: 418, Weight: 2.119276e-07, CVs: pc1=0.55, pc2=0.07
Iteration 17, Warp ID: 428, Weight: 2.119276e-07, CVs: pc1=0.56, pc2=-0.14
Iteration 17, Warp ID: 429, Weight: 2.119276e-07, CVs: pc1=0.69, pc2=-0.08
Iteration 17, Warp ID: 430, Weight: 2.119276e-07, CVs: pc1=0.73, pc2=-0.16
Iteration 17, Warp ID: 431, Weight: 2.119276e-07, CVs: pc1=0.77, pc2=-0.09
Iteration 17, Warp ID: 432, Weight: 8.477105e-07, CVs: pc1=0.62, pc2=0.09
Iteration 17, Warp ID: 433, Weight: 6.357829e-07, CVs: pc1=0.61, pc2=-0.12
Iteration 17, Warp ID: 437, Weight: 6.357829e-07, CVs: pc1=0.56, pc2=0.18
Iteration 17, Warp ID: 439, Weight: 6.357829e-07, CVs: pc1=0.58, pc2=0.19
Iteration 18, Warp ID: 489, Weight: 1.589457e-07, CVs: pc1=0.52, pc2=-0.06
Iteration 18, Warp ID: 490, Weight: 1.589457e-07, CVs: pc1=0.53, pc2=-0.00
Iteration 18, Warp ID: 492, Weight: 1.589457e-07, CVs: pc1=0.68, pc2=0.19
Iteration 18, Warp ID: 493, Weight: 1.589457e-07, CVs: pc1=0.70, pc2=0.33
Iteration 18, Warp ID: 494, Weight: 1.589457e-07, CVs: pc1=0.61, pc2=0.26
Iteration 18, Warp ID: 495, Weight: 1.589457e-07, CVs: pc1=0.75, pc2=0.16
Iteration 18, Warp ID: 464, Weight: 4.238553e-07, CVs: pc1=0.53, pc2=0.16
Iteration 18, Warp ID: 496, Weight: 1.589457e-07, CVs: pc1=0.69, pc2=0.39
Iteration 18, Warp ID: 469, Weight: 6.357829e-07, CVs: pc1=0.55, pc2=0.15
Iteration 18, Warp ID: 470, Weight: 3.178914e-07, CVs: pc1=0.56, pc2=0.11
Iteration 19, Warp ID: 514, Weight: 4.967054e-09, CVs: pc1=0.85, pc2=-0.46
Iteration 19, Warp ID: 516, Weight: 1.986821e-08, CVs: pc1=0.68, pc2=-0.31
Iteration 19, Warp ID: 517, Weight: 1.986821e-08, CVs: pc1=0.78, pc2=-0.43
Iteration 19, Warp ID: 520, Weight: 3.973643e-08, CVs: pc1=0.58, pc2=-0.08
Iteration 19, Warp ID: 521, Weight: 4.238553e-07, CVs: pc1=0.56, pc2=-0.03
Iteration 19, Warp ID: 522, Weight: 2.119276e-07, CVs: pc1=0.71, pc2=-0.21
Iteration 19, Warp ID: 523, Weight: 6.357829e-07, CVs: pc1=0.53, pc2=-0.14
Iteration 19, Warp ID: 559, Weight: 9.934107e-09, CVs: pc1=0.77, pc2=-0.10
Iteration 19, Warp ID: 528, Weight: 6.357829e-07, CVs: pc1=0.70, pc2=0.34
Iteration 19, Warp ID: 562, Weight: 3.973643e-08, CVs: pc1=0.69, pc2=0.33
Iteration 19, Warp ID: 563, Weight: 3.973643e-08, CVs: pc1=0.78, pc2=0.44
Iteration 20, Warp ID: 631, Weight: 4.967054e-09, CVs: pc1=0.81, pc2=-0.40
Iteration 20, Warp ID: 587, Weight: 9.934107e-09, CVs: pc1=0.71, pc2=-0.34
Iteration 20, Warp ID: 591, Weight: 1.986821e-08, CVs: pc1=0.85, pc2=-0.28
Iteration 20, Warp ID: 595, Weight: 7.947286e-08, CVs: pc1=0.67, pc2=-0.05
Iteration 20, Warp ID: 596, Weight: 7.947286e-08, CVs: pc1=0.67, pc2=0.34
Iteration 20, Warp ID: 627, Weight: 4.656613e-10, CVs: pc1=0.81, pc2=-0.31
Iteration 20, Warp ID: 599, Weight: 3.973643e-08, CVs: pc1=0.58, pc2=0.10
Iteration 20, Warp ID: 600, Weight: 5.298191e-08, CVs: pc1=0.72, pc2=0.39
Iteration 20, Warp ID: 601, Weight: 5.298191e-08, CVs: pc1=0.62, pc2=0.27
Iteration 20, Warp ID: 602, Weight: 5.298191e-08, CVs: pc1=0.74, pc2=0.41
Iteration 20, Warp ID: 541, Weight: 6.357829e-07, CVs: pc1=0.55, pc2=-0.09
Iteration 21, Warp ID: 656, Weight: 2.328306e-10, CVs: pc1=0.89, pc2=-0.46
Iteration 21, Warp ID: 661, Weight: 1.059638e-07, CVs: pc1=0.75, pc2=-0.35
Iteration 21, Warp ID: 662, Weight: 1.059638e-07, CVs: pc1=0.89, pc2=-0.36
Iteration 21, Warp ID: 663, Weight: 1.059638e-07, CVs: pc1=0.80, pc2=-0.34
Iteration 21, Warp ID: 664, Weight: 7.064254e-08, CVs: pc1=0.67, pc2=0.30
Iteration 21, Warp ID: 668, Weight: 7.947286e-08, CVs: pc1=0.76, pc2=0.44
Iteration 21, Warp ID: 669, Weight: 7.947286e-08, CVs: pc1=0.82, pc2=0.35
Iteration 21, Warp ID: 671, Weight: 1.986821e-08, CVs: pc1=0.76, pc2=0.39
Iteration 21, Warp ID: 681, Weight: 2.483527e-09, CVs: pc1=0.89, pc2=-0.47
Iteration 21, Warp ID: 559, Weight: 9.735425e-07, CVs: pc1=0.59, pc2=0.02
Iteration 21, Warp ID: 563, Weight: 9.536743e-07, CVs: pc1=0.59, pc2=0.18
Iteration 21, Warp ID: 609, Weight: 1.059638e-07, CVs: pc1=0.69, pc2=-0.13
Iteration 21, Warp ID: 610, Weight: 1.059638e-07, CVs: pc1=0.61, pc2=-0.27
Iteration 21, Warp ID: 612, Weight: 1.059638e-07, CVs: pc1=0.60, pc2=0.27
Iteration 21, Warp ID: 613, Weight: 1.059638e-07, CVs: pc1=0.51, pc2=0.00
Iteration 21, Warp ID: 614, Weight: 1.192093e-07, CVs: pc1=0.62, pc2=0.05
Iteration 21, Warp ID: 615, Weight: 1.192093e-07, CVs: pc1=0.60, pc2=0.01
Iteration 21, Warp ID: 617, Weight: 7.947286e-08, CVs: pc1=0.74, pc2=0.20
Iteration 21, Warp ID: 618, Weight: 2.825702e-07, CVs: pc1=0.69, pc2=0.39
Iteration 21, Warp ID: 619, Weight: 2.825702e-07, CVs: pc1=0.59, pc2=0.28
Iteration 22, Warp ID: 661, Weight: 2.328306e-10, CVs: pc1=0.85, pc2=-0.37
Iteration 22, Warp ID: 664, Weight: 1.986821e-08, CVs: pc1=1.00, pc2=-0.34
Iteration 22, Warp ID: 666, Weight: 3.311369e-08, CVs: pc1=0.86, pc2=-0.35
Iteration 22, Warp ID: 667, Weight: 3.311369e-08, CVs: pc1=0.69, pc2=-0.30
Iteration 22, Warp ID: 562, Weight: 7.594073e-07, CVs: pc1=0.55, pc2=-0.08
Iteration 22, Warp ID: 693, Weight: 1.164153e-10, CVs: pc1=0.76, pc2=-0.41
Iteration 22, Warp ID: 567, Weight: 1.518815e-06, CVs: pc1=0.69, pc2=-0.16
Iteration 22, Warp ID: 696, Weight: 9.934107e-09, CVs: pc1=0.85, pc2=-0.38
Iteration 22, Warp ID: 697, Weight: 2.483527e-09, CVs: pc1=0.94, pc2=-0.46
Iteration 22, Warp ID: 699, Weight: 1.241763e-09, CVs: pc1=0.97, pc2=-0.40
Iteration 22, Warp ID: 700, Weight: 1.986821e-08, CVs: pc1=0.87, pc2=0.26
Iteration 22, Warp ID: 701, Weight: 9.934107e-09, CVs: pc1=0.94, pc2=0.35
Iteration 22, Warp ID: 608, Weight: 1.862645e-09, CVs: pc1=0.55, pc2=-0.21
Iteration 22, Warp ID: 610, Weight: 7.450581e-09, CVs: pc1=0.56, pc2=-0.12
Iteration 22, Warp ID: 612, Weight: 7.947286e-08, CVs: pc1=0.51, pc2=-0.05
Iteration 22, Warp ID: 613, Weight: 7.947286e-08, CVs: pc1=0.69, pc2=-0.07
Iteration 22, Warp ID: 614, Weight: 7.947286e-08, CVs: pc1=0.56, pc2=0.03
Iteration 22, Warp ID: 617, Weight: 3.178914e-07, CVs: pc1=0.75, pc2=0.30
Iteration 22, Warp ID: 619, Weight: 3.178914e-07, CVs: pc1=0.63, pc2=0.28
Iteration 23, Warp ID: 661, Weight: 5.820766e-11, CVs: pc1=0.94, pc2=-0.42
Iteration 23, Warp ID: 662, Weight: 5.820766e-11, CVs: pc1=0.96, pc2=-0.25
Iteration 23, Warp ID: 663, Weight: 5.820766e-11, CVs: pc1=1.04, pc2=-0.36
Iteration 23, Warp ID: 664, Weight: 1.589457e-07, CVs: pc1=0.86, pc2=-0.35
Iteration 23, Warp ID: 665, Weight: 1.589457e-07, CVs: pc1=0.69, pc2=-0.23
Iteration 23, Warp ID: 666, Weight: 3.073364e-08, CVs: pc1=0.73, pc2=-0.37
Iteration 23, Warp ID: 668, Weight: 4.415159e-09, CVs: pc1=0.77, pc2=0.35
Iteration 23, Warp ID: 671, Weight: 4.415159e-09, CVs: pc1=0.76, pc2=0.40
Iteration 23, Warp ID: 674, Weight: 1.766064e-08, CVs: pc1=0.72, pc2=0.29
Iteration 23, Warp ID: 675, Weight: 1.766064e-08, CVs: pc1=0.72, pc2=0.31
Iteration 23, Warp ID: 561, Weight: 1.492324e-06, CVs: pc1=0.54, pc2=-0.09
Iteration 23, Warp ID: 700, Weight: 4.268562e-10, CVs: pc1=0.96, pc2=-0.44
Iteration 23, Warp ID: 701, Weight: 2.483527e-09, CVs: pc1=0.83, pc2=-0.47
Iteration 23, Warp ID: 703, Weight: 1.164153e-10, CVs: pc1=1.06, pc2=-0.46
Iteration 23, Warp ID: 724, Weight: 1.552204e-10, CVs: pc1=1.06, pc2=-0.43
Iteration 23, Warp ID: 726, Weight: 1.552204e-10, CVs: pc1=1.11, pc2=-0.41
Iteration 23, Warp ID: 727, Weight: 1.552204e-10, CVs: pc1=0.94, pc2=-0.40
Iteration 23, Warp ID: 609, Weight: 1.986821e-08, CVs: pc1=0.65, pc2=-0.31
Iteration 23, Warp ID: 615, Weight: 2.119276e-07, CVs: pc1=0.57, pc2=-0.12
Iteration 23, Warp ID: 616, Weight: 1.986821e-08, CVs: pc1=0.58, pc2=0.06
Iteration 23, Warp ID: 618, Weight: 1.986821e-08, CVs: pc1=0.60, pc2=0.03
Iteration 23, Warp ID: 619, Weight: 1.986821e-08, CVs: pc1=0.54, pc2=-0.13
Iteration 23, Warp ID: 621, Weight: 5.794896e-08, CVs: pc1=0.60, pc2=0.06
Iteration 24, Warp ID: 640, Weight: 6.407499e-07, CVs: pc1=0.68, pc2=0.22
Iteration 24, Warp ID: 641, Weight: 1.986821e-08, CVs: pc1=0.58, pc2=0.24
Iteration 24, Warp ID: 579, Weight: 3.532127e-08, CVs: pc1=0.62, pc2=-0.11
Iteration 24, Warp ID: 580, Weight: 5.828010e-07, CVs: pc1=0.54, pc2=-0.07
Iteration 24, Warp ID: 644, Weight: 5.828010e-07, CVs: pc1=0.68, pc2=0.33
Iteration 24, Warp ID: 732, Weight: 5.232781e-09, CVs: pc1=1.11, pc2=0.48
Iteration 24, Warp ID: 591, Weight: 3.973643e-08, CVs: pc1=0.60, pc2=0.25
Iteration 24, Warp ID: 626, Weight: 2.759474e-10, CVs: pc1=0.76, pc2=-0.37
Iteration 24, Warp ID: 690, Weight: 6.446132e-07, CVs: pc1=0.71, pc2=-0.39
Iteration 24, Warp ID: 691, Weight: 6.446132e-07, CVs: pc1=0.79, pc2=-0.31
Iteration 24, Warp ID: 692, Weight: 2.938840e-07, CVs: pc1=0.70, pc2=0.34
Iteration 24, Warp ID: 728, Weight: 5.820766e-11, CVs: pc1=0.88, pc2=-0.40
Iteration 24, Warp ID: 633, Weight: 1.492324e-06, CVs: pc1=0.61, pc2=-0.18
Iteration 24, Warp ID: 635, Weight: 1.986821e-08, CVs: pc1=0.65, pc2=-0.07
Iteration 24, Warp ID: 636, Weight: 4.967054e-09, CVs: pc1=0.79, pc2=0.09
Iteration 24, Warp ID: 637, Weight: 4.967054e-09, CVs: pc1=0.56, pc2=0.12
Iteration 24, Warp ID: 638, Weight: 3.532127e-08, CVs: pc1=0.64, pc2=0.05
Iteration 24, Warp ID: 639, Weight: 3.532127e-08, CVs: pc1=0.61, pc2=0.09
Iteration 25, Warp ID: 640, Weight: 4.028832e-08, CVs: pc1=0.53, pc2=-0.10
Iteration 25, Warp ID: 768, Weight: 5.232781e-09, CVs: pc1=0.98, pc2=0.49
Iteration 25, Warp ID: 642, Weight: 2.483527e-09, CVs: pc1=0.57, pc2=0.03
Iteration 25, Warp ID: 644, Weight: 5.298191e-08, CVs: pc1=0.65, pc2=0.08
Iteration 25, Warp ID: 764, Weight: 1.655685e-08, CVs: pc1=1.18, pc2=-0.34
Iteration 25, Warp ID: 646, Weight: 3.973643e-08, CVs: pc1=0.58, pc2=0.26
Iteration 25, Warp ID: 647, Weight: 2.796267e-08, CVs: pc1=0.74, pc2=0.11
Iteration 25, Warp ID: 648, Weight: 5.298191e-08, CVs: pc1=0.66, pc2=0.32
Iteration 25, Warp ID: 649, Weight: 5.298191e-08, CVs: pc1=0.80, pc2=0.41
Iteration 25, Warp ID: 765, Weight: 8.278423e-09, CVs: pc1=0.88, pc2=-0.47
Iteration 25, Warp ID: 789, Weight: 9.701277e-12, CVs: pc1=1.37, pc2=-0.25
Iteration 25, Warp ID: 688, Weight: 1.986821e-08, CVs: pc1=0.87, pc2=-0.28
Iteration 25, Warp ID: 690, Weight: 1.028353e-06, CVs: pc1=0.73, pc2=-0.29
Iteration 25, Warp ID: 692, Weight: 1.962293e-09, CVs: pc1=0.71, pc2=0.24
Iteration 25, Warp ID: 693, Weight: 1.962293e-09, CVs: pc1=0.71, pc2=0.25
Iteration 25, Warp ID: 694, Weight: 2.207579e-09, CVs: pc1=0.66, pc2=0.19
Iteration 25, Warp ID: 695, Weight: 2.207579e-09, CVs: pc1=0.62, pc2=0.30
Iteration 25, Warp ID: 697, Weight: 1.469420e-07, CVs: pc1=0.73, pc2=0.36
Iteration 25, Warp ID: 698, Weight: 3.924586e-09, CVs: pc1=0.81, pc2=0.34
Iteration 25, Warp ID: 699, Weight: 5.427988e-08, CVs: pc1=0.89, pc2=0.30
Iteration 25, Warp ID: 731, Weight: 5.174014e-11, CVs: pc1=1.02, pc2=-0.41
Iteration 25, Warp ID: 760, Weight: 6.790894e-11, CVs: pc1=0.97, pc2=-0.43
Iteration 25, Warp ID: 633, Weight: 2.897448e-08, CVs: pc1=0.68, pc2=-0.31
Iteration 25, Warp ID: 763, Weight: 6.790894e-11, CVs: pc1=0.91, pc2=-0.47
Iteration 25, Warp ID: 636, Weight: 5.298191e-08, CVs: pc1=0.63, pc2=-0.32
Iteration 25, Warp ID: 637, Weight: 2.649095e-08, CVs: pc1=0.65, pc2=-0.26
Iteration 25, Warp ID: 638, Weight: 1.370796e-05, CVs: pc1=0.67, pc2=-0.25
Iteration 26, Warp ID: 641, Weight: 2.483527e-07, CVs: pc1=0.63, pc2=-0.14
Iteration 26, Warp ID: 769, Weight: 3.395447e-11, CVs: pc1=0.93, pc2=-0.43
Iteration 26, Warp ID: 771, Weight: 3.880511e-11, CVs: pc1=1.18, pc2=-0.45
Iteration 26, Warp ID: 772, Weight: 3.488521e-09, CVs: pc1=1.02, pc2=0.40
Iteration 26, Warp ID: 774, Weight: 1.744260e-09, CVs: pc1=1.12, pc2=0.36
